U_mm,F_lb_kN,F_ub_kN
0.526,1.9572875,2.6129468235294118
0.527,1.9518264204545448,2.606334823529412
0.528,1.9463653409090909,2.599722823529412
0.529,1.9409042613636365,2.593110823529412
0.53,1.9354431818181816,2.586498823529412
0.531,1.9300196022727272,2.580068941176471
0.532,1.9245960227272727,2.5736390588235296
0.533,1.919172443181818,2.567209176470588
0.534,1.9137488636363635,2.560779294117647
0.535,1.908325284090909,2.5543494117647056
0.536,1.902951136363636,2.548093176470588
0.537,1.897576988636364,2.5418369411764705
0.538,1.8922028409090907,2.5355807058823525
0.539,1.886828693181818,2.529324470588235
0.54,1.8814545454545453,2.5230682352941174
0.541,1.876141761363636,2.516977176470588
0.542,1.8708289772727271,2.5108861176470585
0.543,1.865516193181818,2.5047950588235293
0.544,1.860203409090909,2.498704
0.545,1.854890625,2.4926129411764704
0.546,1.8496511363636363,2.4866785882352938
0.547,1.8444116477272725,2.4807442352941176
0.548,1.839172159090909,2.474809882352941
0.549,1.833932670454545,2.468875529411765
0.55,1.8286931818181813,2.462941176470588
0.551,1.823538920454545,2.4571550588235294
0.552,1.818384659090909,2.4513689411764705
0.553,1.8132303977272728,2.445582823529412
0.554,1.8080761363636364,2.439796705882353
0.555,1.802921875,2.434010588235294
0.556,1.7978647727272727,2.4283642352941177
0.557,1.7928076704545457,2.422717882352941
0.558,1.7877505681818182,2.4170715294117646
0.559,1.782693465909091,2.411425176470588
0.56,1.7776363636363637,2.4057788235294115
0.561,1.7726883522727273,2.400263764705882
0.562,1.7677403409090908,2.394748705882353
0.5630000000000001,1.7627923295454544,2.389233647058824
0.5640000000000001,1.757844318181818,2.3837185882352943
0.5650000000000001,1.7528963068181815,2.3782035294117647
0.5660000000000001,1.748069318181818,2.372811294117647
0.5670000000000001,1.7432423295454544,2.367419058823529
0.5680000000000001,1.7384153409090908,2.3620268235294115
0.5690000000000001,1.7335883522727271,2.356634588235294
0.5700000000000001,1.7287613636363637,2.3512423529411763
0.5710000000000001,1.7240673295454545,2.345964470588235
0.5720000000000001,1.719373295454545,2.3406865882352936
0.5730000000000001,1.7146792613636364,2.3354087058823527
0.5740000000000001,1.7099852272727272,2.330130823529412
