1;Temps;Deplacements;Forces
;(s);(mm);(kN)
"";"48.0000";"4.8002";"26.6704"
"";"48.1000";"4.8102";"26.6143"
"";"48.2000";"4.8203";"26.5673"
"";"48.3000";"4.8304";"26.5115"
"";"48.4000";"4.8403";"26.4413"
"";"48.5000";"4.8499";"26.3841"
"";"48.6000";"4.8602";"26.3304"
"";"48.7000";"4.8704";"26.2719"
"";"48.8000";"4.8802";"26.2183"
"";"48.9000";"4.8902";"26.1605"
"";"49.0000";"4.9004";"26.1018"
"";"49.1000";"4.9101";"26.0442"
"";"49.2000";"4.9202";"25.9900"
"";"49.3000";"4.9302";"25.9219"
"";"49.4000";"4.9401";"25.8716"
"";"49.5000";"4.9503";"25.8207"
"";"49.6000";"4.9605";"25.7601"
"";"49.7000";"4.9703";"25.7049"
"";"49.8000";"4.9799";"25.6461"
"";"49.9000";"4.9902";"25.5899"
"";"50.0000";"5.0003";"25.5360"
"";"50.1000";"5.0102";"25.4813"
"";"50.2000";"5.0203";"25.4125"
"";"50.3000";"5.0303";"25.3575"
"";"50.4000";"5.0401";"25.3029"
"";"50.5000";"5.0503";"25.2474"
"";"50.6000";"5.0602";"25.1866"
"";"50.7000";"5.0701";"25.1360"
"";"50.8000";"5.0803";"25.0791"
"";"50.9000";"5.0904";"25.0186"
"";"51.0000";"5.1001";"24.9606"
"";"51.1000";"5.1101";"24.8952"
"";"51.2000";"5.1202";"24.8371"
"";"51.3000";"5.1302";"24.7885"
"";"51.4000";"5.1403";"24.7350"
"";"51.5000";"5.1504";"24.6718"
"";"51.6000";"5.1599";"24.6112"
"";"51.7000";"5.1701";"24.5594"
"";"51.8000";"5.1803";"24.5019"
"";"51.9000";"5.1903";"24.4509"
"";"52.0000";"5.2003";"24.3933"
"";"52.1000";"5.2103";"24.3335"
"";"52.2000";"5.2203";"24.2862"
"";"52.3000";"5.2301";"24.2386"
"";"52.4000";"5.2402";"24.1787"
"";"52.5000";"5.2501";"24.1312"
"";"52.6000";"5.2602";"24.0890"
"";"52.7000";"5.2704";"24.0388"
"";"52.8000";"5.2803";"23.9852"
"";"52.9000";"5.2900";"23.9340"
"";"53.0000";"5.3001";"23.8837"
"";"53.1000";"5.3103";"23.8353"
"";"53.2000";"5.3203";"23.7867"
"";"53.3000";"5.3303";"23.7245"
"";"53.4000";"5.3403";"23.6619"
